

Xiying 12872
Jiyi 6983
Sangshuping 32677

Longmen 55847
Tongmu 12676
Qingtongguan 16548
Longtou 26277
Wenchuan 14660
Jinchuan 3400
Xinchang 865
Simudi 4070
Cuimu 8369
Minzhu 25786
Jinzhai 13739
Zongxi 25811
Guankou 14352
Kou 22814

Hengkou 81086
Shuangru 11950
Shuangqiao 11275
Zhangqiao 32667

Liuji 40169
Liugu 29642

Liuqu 59393
Sufang (Weinan) 30659
Xing 28835

Qiaoling 39550
Laomiao 33657
Hongtu 22086
Longting 29391
Bailongtang 13488
Huaishuguan 25643
Zhuguanzhai 10414
Wangjiabian 11050
Wan 4144
Huashiya 2504
Hejiachuan 3427
Shamao 5517
Ma 4605
Mahe 9435
Mahuangliang 9136
Mahu 7944
Chengguan (Baihe) 32379

Chengguan (Long) 65967
Chengguan (Langao) 35348
Linhe 7668
Jinhe 30465

Qianhe 45793
Sanhe 17142
Wudu 10596
Yudu 12433
Yuandun 12710
Dingjunshan 35914
Hongjun 10986
Hongjia 12603
Zaoyuan 7912
Jujia 14647
Doujia 8879
Moujiaba 22894

Dahekan 68154
Xiaohekou 20020

Jingyao 56650
Jinyu 23829
Zhenyuan 34178

Changning 57945

Zhongnan 57054
Dongnan 25848
Dongfeng 18308
Duyang 13616
Lengdixia 14714
Jixian 26167

Louguan 46642
Rougu 31261
Muhuguan 26328

Puhua 45116

Sanli 43364
Anle 26364
Qi 29683
Qiao 25763
Run 25828
Xianghe 17393
Gaojia 31118
Gaojiabao 13851
Dabaodang 15208
Adang 5625
Jiaokouhe 13692
Jiaokou 11372
Yangjiagetai 6909
Yanshuiguan 7557
Yujiahe 10678
Xianianlipu 10686

Kuanzhou 50519

Binzhou 81787
Yimen 33968
Mengshiling 9113
Nangongshan 12228
Siji 5410
Shijing 25584
Shijuyi 7341
Muyi 36483
Ganguyi 9167
Heijiabao 8196
Wen'anyi 11075
Guanyinsi 3207
Chadian 9426
Wuhou 18640
Liuhou 2988
Houliu 13214

Wuli 57083

Yulin 956265
Balasu 7541
Malan 12608
Malian 26192

Xuelu 38942

Dayang 40359
Yanghong 20930
