

Bilence 206
Krtomil 411

Sezemice 3097

Horice 8899
Zelena Hora 233
Horka u Stare Paky 264
Velka Lecice 177
Kostelec u Hermanova Mestce 278
Stezery 1625
Liten 961
Benecko 1142
Krenice 250
Domousnice 233
Trstenice 569
Choustnikovo Hradiste 605

Rokytnice nad Jizerou 3281
Tyn nad Becvou 859

Lazne Bohdanec 3274
Bosilec 205
Stavesice 368
Zachrastany 167
Lukovany 524
Mukarov 1297
Stredokluky 838
Vysoka 763
Sobesice 385

Becov 2072
Kbelany 65
Zelenov 98

Nove Straseci 5082
Strezetice 294
Hrdlorezy 533
Chrastice 209
Horni Rapotice 152
Zhorec 126
Kresin 307
Krimov 189
Stritez pod Kremesnikem 45
Zalesna Zhor 40
Cerna v Posumavi 835
Dlouha Ves 804
Oharice 58
Mohelno 1424
Belcice 991

Horovice 6431
Olsovice 35
Radosov 182
Troskovice 134
Katovice 1279
Chlistov 234
Hlubyne 134
Unetice 520
Nedrahovice 470
Klenovice 454
Jilovice 870
Jetrichovice 390
Lazovice 72
Vlastejovice 504
Hoslovice 181
Racovice 105
Moravice 268
Tatrovice 146
Stratov 405
Branov 208
Nova Sidla 232

Cernosice 4920

Neratovice 16427

Mnichovice 2256
Uhonice 887
Uhreticka Lhota 217
Srbska Kamenice 193
Semnice 513
Vselibice 522
Drahelcice 405
Hejna 159

Kutna Hora 21280
Mutejovice 779
Micovice 312
Malovice 640
Jiloviste 572
Karlova Ves 116
Svata Mari 540
Osvracin 546
Vlci Habrina 309
Stare Herminovy 228
Hustenovice 988
Senohraby 907
Uhricice 602
Kosice 690
Kojcice 276
Hornice 77

Ledenice 2193
Horni Rasnice 228

Breznice 3662
Strazne 152
Nezvestice 1353
Nova Ves nad Luznici 341
Ujezd nade Mzi 66
Strachujov 152
Chyst 196
Vysoka Srbska 242
Bukovinka 311
Birkov 140
Svojkov 124
Svatoslav 445
Choratice 59

Chotesov 2688
Cechocovice 275
Loukovice 124
Nyklovice 160
Usilov 146
Krasikovice 112
Lany u Dasic 135
Dalovice 1880
Benesovice 173
Maslovice 277
Mirkovice 421

Kralovice 3526
Pravlov 510

Karlovy Vary 51807
Martinkovice 547
Pistina 186
Pliskov 123
