

Zhangliji 36512
Kuangshan 51792
Haozhuang 13061
Sujiazhuang 62027
Hujiachi 24105
Shisu 36232
Shenze 48121
Yanzhao 44279
Zhangdeng 37146
Tangfeng 40341

Fucheng 68649

Daying (Hengshui) 76800
Anling (Cangzhou) 23638
Zhoucun (Hengshui) 21401
Zhouwo 25764
Nanxiakou 36943
Xindian (Cangzhou) 26890

Yingzhou 115387
Dayin 53868
Yilunbao 39128
Houyi 24223
Mingyi 20427
Yinfang 12087
Yi'an 29813
Ranzhuang 36119
Anzhou 36619

Yizhou 94110
Zoumayi 15078
Yidu 9391
Wubao 26273
Yaocun 18562
Yangjiazhuang 13939
Xiaozhuzhuang 31288
Chengnanzhuang 20812
Dongchengfang 42064
Geyucheng 37452
Changfeng 46249
Yangfengang 38500
Tengzhuangzi 38722
Sangyuan (Cangzhou) 55749
Qingyun 40117
Shijingcun 56736
Mijiawu 35955
Linjiatun 33195
Xiling 15053

Qingyuan 81383
Dingningdian 54494
Qingtong 29125
Songcao 33601
Cangyanshan 6908
Shankou 34025
Hancun (Shijiazhuang) 49321
Taoyuan (Chang'an) 48909
Fangzhuang 32829
Fangjiaying 26539
Jiajiakou 49635
Sijiazhuang 38403

Fanzhuang 69155
Lianzi 57795
Jiangwu 45741
Zhanghedian 34824
Xindian (Xingtai) 36195
Xin'anzhen 28492
Rencheng 58320
Heshazhen 39261
Pushang 31033
Changzhuang (Xingtai) 29002
Gucheng (Hengshui) 26545
Chenshi 41629
Shenpo 34748
Chengwei 40111
Fuzhen 33371
Tiecheng 38485
Xielu 53692

Xinmatou 76797
Licun (Xingtai) 15139
Beitangtuan 47122
Gucheng (Xingtai) 43213
Shahecheng 37722

Cheng'an (Handan) 76075

Wu'an 134485
Nanyangbao 27192
Boyan 20072
Henantuan 43134
Yicheng 38822
Henandian 30145

Lincheng 64247
Xiulin 25535

Neiqiu 64414
Dabeiwang 36818

Weicheng 133734

Fengfeng 81631
Damengcun 32542

Fenghuang 140692
Wanghuzhai 25776
Wancheng 41080
Xinchengpu 33248

Xinle 99347
Xiaozuo 18338
Baixiang 47487
Songjiazhuang (Xingtai) 17830
Shangzhuang 48394
Mengjiazhuang 5654
Dahe (Shijiazhuang) 44111
Zhangshiyan 5860
Yangyi 46826
Liuying 52352
Dishiying 39314
Shilipu 40189
Liuyuan 59424
Liucun (Xingtai) 49543

Hecun 65077
Heyang 45571
Beihezhuang 50251
Beichu 20697
Huaishu 54246
Huapi 21279
Xiahuai 15119
Chuanli 9340
Chenzhuang (Shijiazhuang) 20930
Fengshan (Shijiazhuang) 12298
Shang'an 24397
Shahedian 31370
Huanmadian 51625
Qianmotou 23282
Madian 47792

Wuqiang 63040
Majiawu 41224
Mazhuang 32494
Douzhuang 34960
Jiuzhou 49616

Renqiu 283568

Qingzhou 111298

Leshou 88069

Hengshui 339041
Hechengjie 42413
Fengjiakou 41052

Jingzhou 72806
Zizhong 42196

Jize 65000
Lijiatuan 37015
Fengjiazhai 40844
Jizhenzhai 23871

Cizhou 143465
Anzhai 54641
Zhaocun 31919
Baizhai 49761

Xingtai 684336
Heying 31645
Xinhe 48909
Xiwang 31156
Xihuangcun 19403
Pengcheng 56711
Dezheng 24034
Jiecheng 25295
Chewang 35815
Kang'ercheng 39953
Chenggouji 41591
Yuecheng 35428
Piancheng 13068
Nanyancun 53211
Nandongfang 25116
Nandaguo 26030
Dashe 47674
Daming 59669
Datong 43995
Dayu 17293
Nanhancun (Handan) 30172
Matou (Handan) 32380
Cishan 33474
Shageta 29347

Guantao 66372
Juntun 18207
Guanting 34583
Huining 36488
Yonghehui 40175
Dongdaigu 29371
Hongqiao 30613
Nanshuangmiao 34520
Yangqiao 47389
Hegumiao 43072
Guangfu 49716
Xiguanglu 42315
Luluo 16259
Xinpo 26898
Beixiangyi 38211
Xiabaosi 33469
Dasishang 31971

Handan 781758
Wandi 31932
Wangkuai 33909
Paihuai 27589
Baita 47009
Suntaoji 57385
Haoqiao 57313
Gaoyi 52129
Hetaoyuan 27748
Tanglin 24041
Linxi (Xingtai) 52724
Xintun 34255
Yantuan 27353
Matun 36415
Haocun 34597
Zangtun 45537
Niutuo 38947
Liusong 33276
Dongxianpo 31410
Hongqi 14163
Songlindian 54467
Diaohetou 23333
Mumendian 28997
Liangji (Hengshui) 39518
Wangsi 37184
Liugusi 32419
Tanli 32002
Liuquan 44765
Qukou 47716

Bazhou 103626
Bailou 46976
Laishui 36179
Hancun (Langfang) 26543
Gaolincun 40729
Lianggang 12754
Xiaodian 30696
Mingyuedian 46049
Sangyuan (Baoding) 26683
Zhoucun (Baoding) 49091
Fangcun 49212
Dicun 24796
Loudi 39027
Yuantou 20397
Jiazhuang 24245
Licun (Shijiazhuang) 33715
Jicun 27538

Wuji 91952
Wurenqiao 30912

Renhou 77609

Lingshou 62713
Taoyuan (Jinzhou) 53826

Zhaozhou 127545

Zhangjiakou 874747
Zhaoyanghe 6251
Zhangbaiwan 22991
Chaoyangwan 15155
Yangshuling 29463
Chaoyangdi 13773
Datun (Chengde) 17431
Ping'ancheng 51631
Anping (Langfang) 20450
Sizhuang (Gaobeidian) 35392
Beiwei 45074

Liwu 106125
Liuzao 44367
Xiaoqiao 59880
Zhaojiaquan 33576
Beima Quanzi 12519
Lianzhen 41635

Zhengkou 109827
Matou (Hengshui) 39546
Shengfo 42159
Longhua (Hengshui) 43341
Chuiyang 41567
Liyuantun 31530
Jintan 46974

Qinhuangdao 831281
Daodi 32921
Sungandian 38542
Sujiawa 30521
Duanjialing 18872
Wali 20373
Liuzan 12739
Linnancang 23687
Tangfang 17779
Xinji (Tangshan) 25853
Anshan 45804
Muchangkou 24489
Mujing 42460
Taiying 41960
Wangtan 46645
Donghuangtuo 16217
Yejituo 36218
Xinjuntun 37893
Luojiatun 24685
Lijiaying 9686
Sanjia 20320
Guojiatun (Chengde) 18493
Jiuliancheng 13654
Fengshan (Chengde) 35212

Xiabancheng 80337

Chengde 306582
Tangdaohe 18594
Shuangtashan 18250
Huangqi 11840
Dongxiaozhuang 31097
Xiaoguanying 27600
Zijingguan 20812

Dingxing 95456
Zhaogezhuang (Baoding) 22514
Huashaoying 24579

Shacheng 114569
Fanshan 21248
Baishishan 15488
Dongshiduan 32808
Wangdu 56288

Anguo 112694
Daguanting 39671
Gaoguzhuang 22208

Langfang 523519

Shengfang 121328

Cangzhou 420971
Maozhou 25509
Hancun (Cangzhou) 49377
Mengcun 58061
Dayincun 23133
Zangcun 31107
Gaocun 36070
Gongcun 36149
Jiulong 16834
Songjiazhuang (Zhangjiakou) 21986
Laoyazhuang 45376
Dahuangzhuang 16438
Yaojiazhuang 21558
Dongyaozi 26240
Sangongdi 6113
Dongmao 15743
Mangshikou 8973
Tiangongsi 34213
Longwan 49949
Donggugang 35936
Pangu 27599
Baoguantun 32924
Quancun 36590
Cui'erzhuang 56096
Cuijiamiao 40917
Shaheqiao 42451
Nanxiaowang 35702
Dongwang 31953

Longzhou 70614
Zhonggu 17610
Nandong 42934
Wende 44232
Weibo 38748
Qiema 26842
Nanzhiqiu 35165
Nanwucun 30427
Nanbaishe 41138
Beisu 52752
Xiaomu 26444
Xiguan 43144

Sanhe 285801
Chahe 25798
Macheng 15907
Fengdengwu 37744
Songdaokou 51178
Yahongqiao 58384

Qian'an 152524
Baozidian 38659
Qianying 45966
Jianming 31658
Liangjiatai 7382
Gaositai 13032
Dibeitou 21194

Bencheng 62851

Gaobeidian 192381
Diaowo 34304

Yanjiao 72747
Xinqiao 37583
Shimenqiao 45357
Shifo 32266
Yaoshan 35053
Xiyan 47624

Anxin 68962

Ansu 141211
Langyashan 16601
Yongyang 29632
Hedong 11189

Kongjiazhuang 81909
Yangjuan 12840
Longquanguan 7394
Tianshengqiao 9151
Nanqiao 29508
Nancun 38608
Nanxingguo 23623
Nanshimen 50035

Linshui 128433
Yali 50291

Zhangbei 129338
Heishanju 19370
Yaozhan 17888
Xiaochang 10082
Pianqiaozi 7483
Liangjiadian 39248
Beijiadian 28366
Shijiuwo 35910
Liudaohe 15874
Damiao 10950
Da'an 30213
Dazhangzi 16896
Changshanyu 20024
Linxi (Tangshan) 30538
Tangzitou 18152
Antoutun 25401
Quanhetou 24565
Binhai 16537
Nanpaihe 44331
Zhaizi 52767
Zhaowang 26091
Gaozhai 23018
Gaoguan 28006
Jieguan 32028
Tiegan 40683
Gaopeng 43319
Gaoyupu 51423
Xiaolin 38135
Xifoluo 22030
Beiluo 50949
Beiyang 25824
Kaiyuan 49538
Mayu 42147
