

Raobu 38608

Zhongbu 76082
Songbu 27971
Lanfang 33565
Yangwei 39611
Dongjia 23455

Zhangshu 214367
Zhangshudun 10169
Zhiguang 32672
Shigang 45426

Gao'an 270706
Tangpu 23467
Jianshan 15775
Heling 20184
Lingang 27106

Dexing 97882
Fuchun 28065
Chuntao 31561
Hantang 15990
Sixi 32091
Bixi 16772
Longshi 32973
Gaopo 12189
Gaoqiaolou 15362
Laoqiao 19384
Laocheng 10245
Dajishan 12767
Zhajin 43462
Paibu 10101
Zibu 38014
Jibu 27757
Tieshanlong 15886
Dieshan 10919
Geshan 18994
Desheng 11172
Zuofang 20900

Fuzhou 382065
Taiyang (Fuzhou) 18206

Xiugu 81153
Xiniu 58026
Yangmei 15246
Hongmen 11221
Mengshan 12323
Huze 17002
Moshan Xiang 5488
Xiangshan 23296
Wanchong 13939
Qianchang 10199
Dingshan 15504
Zuoli 23815
Mahuiling 27042
Baicha 13741
Wanbu 14228

Huangjinbu 64647
Dayuan 17379
Qigong 29802
Egong 18287
Wudang 11098
Madang 33978
Daduan 16004
Badu 34005
Baishui 10808
Chishui 19387
Baiyang 15432
Liyang 13322
Saiyang 9251
Junqiao 26775
Xiejiatan 60353
Huangcun 15905
Yangcun 38538
Longtang 10667
Banshi 25757
Guizhumao 9414

Guixi 117280
Wang'er 33422
Long'an 13915
Hecheng 42141
Xiongcun 14146
Matoushan 11207
Matou 41954
Potou 19763
Toupo 23080
Jiantou 25018
Yaqian 11601
Huaqiao 18185
Huanggu 42206
Zihu 18750
Zishan 53857

Meilin (Ganzhou) 93711

Meijiang (Ganzhou) 170960
Shaxi (Ji'an) 20244
Hengjiang (Ji'an) 19697
Suxi 19136
Guxian 21597
Daifang 32796
Lipo 11895
Zhuliang 36404
Jiulianshan 4028
Tianjiu 14751
Gangshangji 19703
Jinggangshan 12630
Qingshan 41694
Shuijiang 22531
Lijiang 19087
Shandang 21630
Mabu 14911
Mashi 34320
Lashi 29330
Penggao 27869
Henggang 23512
Luoping 16402
Luoting 11238
Ehu (Jingdezhen) 26029
Gangkou (Jiujiang) 20297

Xinning 85462
Yongning 43391

Yining 109983
Sandu 13595

Shangdundu 117438
Tiandun 48854
Danan 16175
Huating 30905
Hufeng 21264
Shatian 27412
Wucun 38706
Xucun 16192
Jiangwan 26804
Bimu 27202
Shima 32528
Shimenjie 22384
Jinggongqiao 14918
Mianchuan 35852

Shuangzhong 82167
Tangzhou 31385
Rangxi 12930
Huangxi 35422
Jiulong 27045
Raofeng 38067
Gaofu 16102
Leixi 16116
Heyuan (Fuzhou) 15282
Langju 26617
Dengbu 63814
Shangqing 12218
Xingqiao 21804
Yingqian 23005
Xincheng (Ganzhou) 55770
Shuinan (Ganzhou) 62302
Shadi 35961
Shahe 33597
Maodian 26417
Yangqiaodian 33352
Jinjiang (Yingtan) 49245
Binjiang (Yichun) 45220
Zhaixia 32637
Nanmiao 19695
Fengyang 18436
Gaocheng 27125
Gaocun 13926
Huangmao 52256
Sanxing 23175

Yichun 634585
Xinzhuang 15181
Wenzhu 23012
Ganzhu 25164
Xinfengjie 7781
Nanfeng 18043
Tianhong 15974
Lianhua 22447
Zhitan 12420
Lita 17707
Shitang 16258
Gangkou (Shangrao) 14193

Hekou 65226
Xikou 27167
Huanggang (Jiujiang) 14674
Xigang 21136
Gushi 35095
Pangushan 18729
Xiefang 35020
Zhaoxie 22219
Luokou 30394
Niutian 19725
Wujiang 19678
Shuibian 49836

Shuixi (Xinyu) 120507
Linjiang 41801
Jiebu 23477

Jiedu 68777
Shou'an 30747
Zhongyun 22821
Qingyun 22234

Fenyi 124990
Nanyi 20106
Fenglin (Jiujiang) 11505
Jiaotang 20631
Gaotian 22604
Qingtang 34354
Rentian 43961
Yiqian 23263
Duiqiao 17362
Shiqiao 24065

Qinting 72401
Buqian 20718
Litian (Ji'an) 16220
Yonghe 22730
Dingjiang 12860
Tengtian 36150

Aoxi 82717
Maixie 20968
Changfu 27990

Xinyu 439364
Baqiu 35255

Hufang (Nanchang) 163352
Lehua 24801
Dongyang 9441
Yongyang 28925
Yaotou 28905
Baijia 19606

Changdong 148305

Qincheng 99987

Xujiang 87459
Qiawan 15825

Rifeng 82667
Guifeng 26269
Zhoufang 34796
Liukou 18603
Liuhu 31750
Liusi 26437
Wudu 60769
Xiafeng 30317
Jiubao 51540
Jiangbei 26030
Hefeng 45918
Shazhouba 24802
Meijiao 22560
Litian (Yongxin) 41589
Ciping 12748
Duiziqian 20955
Nashan 12998
Xiabu 39054
Ma'ao 32577
Sidu 20687
Sili 31139
Sishilijie 28795
Wuni 9826
Tengqiao 26284
Sunfang 20232
Zhanping 19596
Dacheng 24529
Wuyishan 23169
Jinlong 22785
Sanlong 15400
Wenlong 15218
Qiukou 20899
Zhentou 10411
Xingangshan 20811
Taihe 20197
Tangfang 19252
Jitan 19831
Quankou 19387
Nieqiao 7694
Jiangyi 11324
Longmen 19029
Wenpo 13012
Erdu 15831
Longyuanba 12804
Gaofeng 18962
Cenyang 12548
Chetou 17239
Qulai 15761
Cheqiao 8508
Guantian 8420
