

Sultanaeva 194
Sovkhoznyy 194
Borisovka 1122

Plast 17342
Demarino 1049

Varlamovo 2106
Novovarlamovo 253
Kainkul' 253
Lebedki 253
Lebedevka 609
Mel'nikovo 300
Berezki 300
Berezovo 282
Berezovka 896
Shipkino 258
Serkino 212
Streletsk 212
Kuznetskoe 1204
Gubernskoe 751
Kabanskoe 33

Annenskoe 2320
Voskresenskoe 287
Kaygorodovo 287
Nazarovo 215
Zhdanovskiy 215
Atamanovskiy 709

Emanzhelinsk 30216

Emanzhelinka 4453
Beloglinka 209
Glinka 28
Sistema 28
Marksist 75
Salamat 335
Urazaevskiy 335
Kuzhebaevskiy 240
Araslambaevskiy 296
Urefty 87
Silach 160
Svet 51

Svetloe 1655
Berezinskiy 1120
Mariinskiy 438
Michurinskiy 922
Michurino 287
Murino 156
Malyy Agardyash 1
Malyy Kunashak 19
Trifonovo 19
Rodionovo 172
Novyy Kondurovskiy 236
Novovladimirovskiy 262
Kulikovskiy 309
Bazarskiy 236
Samarskiy 206
Sinarskiy 215
Bidinskiy 64
Urlyadinskiy 446
Novourlyadinskiy 79
Yuzhno-Chelyabinskiy Priisk 79
Sbitnevo 79
Okunevo 60
Trebiat 182
Suleymanovo 60
Nugumanovo 321
Novoe Kurmanovo 484
Kurmanova 856

Argayash 10061
Bazhikaeva 1084

Ishalino 2089

Mirnyy 2084
Kasargi 707

Dolgoderevenskoe 7700
Techenskiy 901
Sukhorechenskiy 715
Knyazhenskiy 816
Yuzhno-Stepnoy 868
Stepnoy 58

Stepnoe 1610
Stepninskoe 274
Poletaevo II-e 274
Poletaevo I-e 366
Kaluga-Solov'evka 440
Vorob'evka 3
Mayan 3
Mayak 1426
Kyzyl-Mayak 333
Kyzylova 103
Malaya Kyzylova 8
Novyy Khrebet 8
Khrebet 806
Tirikul' 84
Urukul' 212
Atkul' 270
Port-Artur 270
Biryukovskiy 231
Moskovskiy 93
Novomoskovskoe 447
Petrovskoe 840

Petrovskiy 1735

Kopeysk 137601
Gumbeyskiy 632
Gumbeyka 390
Il'inka 164
Il'ino 32
Churilovo 32
Belovo 747

Chebarkul' 42844
Uysko-Chebarkul'skaya 824
Chebakul' 381
Belikul' 170
Achlikul' 519
Terenkul' 434
Alabuga 846
Aleksandrovka 519
Aleksandrovskiy 269
Aleksandro-Nevskiy 179
Surmenevskiy 525
Astaf'evskiy 253
Pugachevskiy 43
Malaya Kanzafarovo 58
Kanzafarova 147
Salomatovo 74
Yamki 74
Grazhdanskiy 76

Kamenskiy 1862
Nizhniy Atlyan 1271
Syrostan 997
Prostornyy 124
Sanatornyy 86
Elevatornyy 67
Utrennyaya Zarya 67
Zarya 83
Taktybay 83
Novochernigovskiy 183
Chernigovskiy 912
Magnitnyy 1320
Granitnyy 797
Karabulak 628
Kyzylbulak 94
Dautovo 107
Redutovo 407
Shishminka 457
Chishma 337
Chistyy 22
Skalistyy 599
Taukaevo 600
Gaevo 22
Chernomorka 22
Kadkul' 22
Kumkul' 171
Sennoy 310
Altyntash 485
Altyrka 283
Yaltyrova 198
Obruchevka 1153
Feklino 113

Metlino 3694
Bol'shoy Kuyash 1046
Malyy Kuyash 119
Popovo 675
Potapovo 426
Lugovaya 148
Lugovoy 775
Verkhnie Malyuki 210
Verkhnie Karasi 245
Nizhnie Karasi 265
Blizhniy 154
Lozhkina 307
Dolgovka 440
Talovka 229
Voznesenka 1170

Roza 13099
Serozak 65
Bannikovo 65
Slobodchikova 20
Nagaybakskiy 818
Mayakskiy 282
Amurskiy 558
Novoamurskiy 123
Novoakhunovo 357
Forshtadt 1205
Ushtaganka 247
Rakitnyy 247
Kvartsitnyy 711
Ershovskiy 174
Novoershovskiy 532
Pavlovskiy 1435

Naslednitskiy 1788
Uglitskiy 993
Arsinskiy 1068
Krasninskiy 1368
Kuropatkinskiy 362
Babarykinskiy 453
Zheltinskiy 1252

Primorskiy 2624
Chernoborskiy 1350
Ural-Dacha 54
Sunaly 54
Tatarka 53
Lesnoy 428
Kukushka 110
Os'mushka 27
Kamenushka 13
Verkhniy Iremel' 13

Verkhniy Ufaley 30481
Cheremshanka 1025
Cheremushki 241

Bishkil' 1760
Medvedevo 698
Shakhmatovo 617

Travniki 2334
Rodniki 1089
Rodnik 371
Ol'khovka 371
Bryukhovo 212
Slivnoy 212
Urozhaynyy 326
Pridorozhnyy 325
Koryazhnyy 142
Pichuginskiy 59
Kalininskiy 1267
Polotskoe 1194
Katsbakhskiy 844
Zingeyskiy 1222
Zingeyka 393
Novobalandino 179
Balandino 583
Kuluzhbaeva 63
Sultaeva 621
Ognevskoe 601
Zavarukhino 157
Krasnoarmeyskiy 157
Mokhovichki 267
Tyelga 267
Logovoy 152
Svetlogorsk 915
Sugoyak 915
Russkaya Techa 1129
Novaya Techa 144
Stupino 144
Kleopino 130
Shibaevo 461
Vitaminnyy 335
Tselinnyy 1221

Burannyy 2980
Burannaya 922
Novokaolinovyy 1373
Novokatenino 211
Katenino 980
Novopokrovka 1087
Velikopetrovka 1164
Tarutino 770
Zotino 47
