

Zirchow 672
Zirzow 342
Renzow 461
Grebbin 558
Finkenthal 348
Schwinkendorf 375
Behnkendorf 399
Pingelshagen 626
Ivenack 965
Wildberg 594
Ostseebad Boltenhagen 2574
Neu Boltenhagen 657
Neu Bartelshagen 426
Lutow 358
Tutow 1299
Hinrichshagen Hof 844
Heiligenhagen 824
Weitenhagen 1604

Wolgast 12664

Greifswald 52731
Rodenwalde 488
Schonwalde 551
Fahrenwalde 394
Fahrbinde 372
Raben Steinfeld 1131

Bruel 3140
Neuendorf 188
Kirch Mulsow 369

Kropelin 4044

Neubukow 4276
Sukow 1505
Luckow 681
Duckow 277
Schloen 433
Schlemmin 317
Altenhof 403
Klink 1160
Zislow 186
Sietow 662
Rogeez 317
Kogel 623
Zarnewanz 425
Warnow 1073
Werder 502

Parchim 19161

Bergen auf Rugen 14771
Glowe 1015
Plowen 292
Utzedel 431
Ritzerow 509
Gross Dratow 398
Faulenrost 761
Gross Flotow 174
Gross Runz 273
Zusow 365
Zusedom 287
Usedom 1929
Medow 420
Eixen 893

Barth 9298
Franzburg 1754
Granzin 559
Gnevkow 426
Blievenstorf 509
Jabel 600
Neetzow 588
Gohren-Lebbin 600
Setzin 531
Zehna 742
Raduhn 583
Peenemunde 371
Stolpe an der Peene 434
Domitz 2522

Grabow 6268
Redefin 553
Fincken 465
Pulow 317

Anklam 14694

Friedland 6966
Grapzow 480
Rappin 407
Lockwisch 359
Balow 363
Gribow 267
Bibow 313
Rubow 892
Rubkow 755
Priepert 276
Rieps 380
Niepars 2067
Wotenick 376
Jatznick 2082
Holthusen 861
Wusterhusen 1370

Wittenforden 2931
Gnevsdorf 325
Pokrent 785
Bristow 236
Ganzlin 598
Zepkow 248
Loddin 1037
Boddin 386
Toddin 552
Neu Gaarz 133
Splietsdorf 598
Kuchelmiss 938
Penkun 2082
Penkow 266
Teusin 183
Lassahn 491
Lubstorf 1570
Massow 219

Dassow 3242
Mesekenhagen 1043
Stralendorf 1536
Gelbensande 1774

Ahlbeck 3444

Bad Doberan 11559
Lohme 629
Dahmen 621
Warnkenhagen 399
Rukieten 373
Gross Stieten 628
