

Le Havre 185972
Le Ham 353
La Haute-Chapelle 614
La Carneille 496
Barneville-sur-Seine 466
Montreuil-en-Caux 390
Pissy-Poville 1291
Igoville 1549
Surtauville 371
Le Boulay-Morin 591
La Bouille 808
Morgny 434
Morville 269
Gerville 390
Guerville 428
Triquerville 362
Omonville-la-Petite 136
Les Tourailles 71
Heugueville-sur-Sienne 502
Anneville-sur-Mer 198
Fleure 237
Froberville 840
Lessard-et-le-Chene 185

Gruchet-le-Valasse 2788
Saint-Mards-de-Blacarville 805
Saint-Mard-de-Reno 447
Saint-Martin-de-Sallen 477
Saint-Martin-de-Varreville 158
Vaux-sur-Seulles 318
Juvigny-sur-Seulles 59
Trungy 246
Chennebrun 122
Hennezis 791
Menneval 1432
Louversey 523
Louvieres 77
Ouville-la-Riviere 589
Saint-Georges-de-la-Riviere 217
Sainte-Croix-sur-Mer 211
Croix-Mare 603
Lestanville 77
Banville 610
Banvou 464
Fallencourt 151
Les Champeaux 118
La Cambe 542
Ambenay 484
Barc 811
Marcilly 337
Marchainville 217
Saint-Gregoire-du-Vievre 336
Saint-Martin-Don 238
Saint-Martin-du-Manoir 1460
Saint-Martin-de-Mailloc 693
La Lande-Saint-Leger 217
La Lande-sur-Drome 64
Saon 226
Asnelles 599

Gasny 3093
Mesnil-Verclives 226
Ver 300
Ver-sur-Mer 1382
Sartilly 1318
Castilly 259
Mantilly 647
Cantiers 214

Vimoutiers 3964
Marolles 662
Triqueville 299
Genets 454

Saint-Germain-Village 1617
Saint-Germain-Langot 286
Saint-Germain-sur-Ay 873

Bricquebec 4475

Querqueville 5670

Saint-Vaast-la-Hougue 2144
Saint-Vaast-Dieppedalle 334
Saint-Vaast-d'Equiqueville 577
Saint-Symphorien-le-Valois 734
Juvigny-le-Tertre 688
Dance 411
Bonsecours 285
Ecouis 773
Saint-Etienne-sous-Bailleul 341
Amfreville-sur-Iton 757
Les Damps 999
Beauchamps 362

Saint-Marcel 5288
Ande 1043
Orglandes 319
Yvrandes 136
Vendes 287
Saint-Sauveur-Lendelin 1438
Hambye 1141
Les Chambres 97
Chambois 479
Oudalle 364
Sallen 244
Cerisy-la-Salle 1024

Periers 2647
Perigny 65
Saint-Gervais-des-Sablons 70
Glicourt 197
Carquebut 297
Butot 278
Hautot-le-Vatois 274
Incheville 1475
Sainte-Colombe-pres-Vernon 224
Harcanville 418
Valcanville 395
Branville 152
Moult 1179

Caen 110624
Tourville-sur-Odon 1112
Carcagny 292

Bretteville-sur-Odon 4320
Bretteville-sur-Dives 296
Bois-Anzeray 162
Bois-Himont 403
Beuvron-en-Auge 245
Tourville-en-Auge 238
Louvieres-en-Auge 88
Les Moutiers-en-Auge 129
Moutiers-au-Perche 515
Breux-sur-Avre 304
Normandel 104
Saint-Jouin-de-Blavou 317
Le Fresne 383
Bure 103
Bures-les-Monts 114
Saint-Denis-des-Monts 188
Oherville 171
Colonard-Corubert 251
Saint-Pierre-la-Bruyere 457
Saint-Pierre-le-Vieux 207
Saint-Pierre-du-Val 517
Saint-Pierre-du-Fresne 204
Etienville 355
Hattenville 562

Fontaine-la-Mallet 2640
Nointot 1113
Antoigny 120
Montigny 1149
Glatigny 162
Repentigny 95
Escoville 731
Annoville 557
Carantilly 540
La Colombe 573
Sainte-Suzanne-sur-Vire 530
Le Beny-Bocage 991
Saint-Romphaire 613
Saint-Remy 1065
Greville-Hague 736
Sainte-Croix-Hague 624
La Chapelle-Hareng 82
Lintot 453
Appeville 228
Heuland 73
Le Mesnil-Villement 297
Beuvillers 1130
Greuville 329
Olendon 177
Le Mesnil-Raoult 329
Manneville-la-Raoult 433
Banneville-la-Campagne 91
Saint-Pierre-Azif 149
Perriers-la-Campagne 335
Cernay 119
Tournay-sur-Odon 361
Saint-Andre-de-Briouze 171

Saint-Andre-sur-Orne 1679
Caumont-sur-Orne 78
Amaye-sur-Orne 730
Rots 1417
Theuville-aux-Maillots 389
Hauterive 385
Saint-Amand-des-Hautes-Terres 323

Tourville-la-Riviere 2336

Canteleu 15742
Fontaine-le-Bourg 1492
Fontaine-la-Louvet 298
Necy 470
Saint-Gabriel-Brecy 365
Gauciel 885
Sauchay 402
Ecouche 1413
Villers-en-Ouche 339
Bosc-Renoult-en-Ouche 146

Le Bosc-Roger-en-Roumois 3151
Le Bois-Robert 285
Bois-le-Roi 860
Boissey 164
Beauficel-en-Lyons 196
Beaufai 322
Beaumais 175
Beaulandais 143
Canteloup 178
Vaudreville 82
Sainte-Foy-de-Montgommery 181
Sainte-Marie-du-Mont 819
Saint-Aubin-de-Cretot 483
Saint-Aubin-de-Bonneval 153
Saint-Aubin-du-Thenney 342
Eraines 241
Vraiville 498
Maniquerville 309
Torcy-le-Petit 485
Dorceau 387
Les Rotours 96
La Luzerne 49

Rai 1790
Surrain 146
Grainville-sur-Ry 488

Blainville-sur-Orne 4598
Tilly-la-Campagne 96
Tourville-la-Campagne 794

Bourg-Achard 2652

Saint-Leger-du-Bourg-Denis 3191
Saint-Denis-de-Mere 840
Villiers-en-Desoeuvre 848
Periers-en-Auge 151
Richeville 273
Commeaux 119
Ommeel 105
Torchamp 270
Saint-Laurent-du-Tencement 53
Saint-Laurent-de-Terregatte 586
Saint-Laurent-du-Mont 186
Vieux-Pont 208
Camprond 324
