

Marolles-les-Braults 2257
Les Clouzeaux 2257
La Genetouze 1465

Mouilleron-le-Captif 3807
Remouille 1558
Aigrefeuille-sur-Maine 2355
Saint-Fiacre-sur-Maine 1071

La Haie-Fouassiere 4047
La Haie-Traversaine 442
Saint-Fraimbault-de-Prieres 953
Saint-Jean 1470
Saint-Baudelle 1062
Moulay 1008
Boulay-les-Ifs 175
La Breille-les-Pins 465
Moreilles 242
Mouais 285
Longuefuye 326
Juigne-des-Moutiers 320
Saint-Pierre-des-Nids 1798
Dehault 221
Terrehault 97
Saint-Julien-du-Terroux 240
La Salle-et-Chapelle-Aubry 1091
La Chapelle-aux-Choux 339
Gee 339
Chevire-le-Rouge 814
Avire 448
Fontaine-Couverte 410
Fontaine-Guerin 758
Brion 1085
Briollay 2416
Soulaire-et-Bourg 1257
Feneu 1899
Cantenay-Epinard 1986
Chantenay-Villedieu 763
Launay-Villiers 365
Gastines 172
Disse-sous-le-Lude 575
Souligne-sous-Ballon 1060
Luce-sous-Ballon 89
Disse-sous-Ballon 124
Les Alleuds 669
Les Aulneaux 98
Les Pineaux 476
Saint-Mesmin 1896
Saint-Meme-le-Tenu 1138

Machecoul 6054

La Garnache 3826
Mache 1165
Apremont 1199
Coex 2571
La Chapelle-Hermier 602
La Chapelle-Achard 1078
La Mothe-Achard 2257
Saint-Mathurin 1350
Sainte-Foy 1443
Sainte-Florence 915
Sainte-Cecile 1437
Sainte-Cerotte 328
Marsais-Sainte-Radegonde 525
Thouarsais-Bouildroux 677
Foussais-Payre 1283
Mervent 1131
Saint-Michel-le-Cloucq 1320
Saint-Michel-de-la-Roe 220
Saint-Michel-et-Chanveaux 392
Saint-Quentin-les-Anges 392
Deneze-sous-Doue 440
Evaille 332
Deux-Evailles 160
Les Mees 111
Les Magnils-Reigniers 1443
Saint-Hilaire-des-Loges 1781
Saint-Hilaire-la-Foret 448
Martinet 708
Saint-Laurent-de-la-Salle 368
Saint-Laurent-de-la-Plaine 1633
Saint-Laurent-du-Mottay 746
Saint-Florent-le-Vieil 2793
La Chapelle-Saint-Florent 1148
La Chapelle-Saint-Sauveur 677
La Chapelle-Saint-Laud 443
La Chapelle-Saint-Remy 774
La Chapelle-du-Bois 833
La Chapelle-du-Genet 1165
Rouperroux-le-Coquet 287
Epineux-le-Seguin 186
Boesse-le-Sec 617
Asse-le-Boisne 864
Asse-le-Berenger 342
Hardanges 255
La Chaize-Giraud 681
La Chaize-le-Vicomte 2858
Meigne-le-Vicomte 341
Meigne 331
Saint-Aubin-du-Desert 253
Rene 370
Chartrene 56
Linieres-Bouton 98
Aillieres-Beauvoir 246
Tillieres 1343

Treillieres 6572

Orvault 25338

Sautron 7405
Le Tronchet 112
Chemire-sur-Sarthe 252
Ballee 731

La Turballe 4356
Piriac-sur-Mer 2046
Batz-sur-Mer 3243
La Plaine-sur-Mer 2711
Prefailles 1185
Saint-Michel-Chef-Chef 3435

Saint-Brevin-les-Pins 10396

Saint-Nazaire 67054

Trignac 7132

Herbignac 4724
Saint-Lyphard 3463
Asserac 1466
Severac 1288
Fegreac 2156

Segre 7428
Degre 711
Peze-le-Robert 359
Sainte-Gemmes-le-Robert 825
Montreuil 698
Montreuil-sur-Loir 349
Soucelles 2297
Doucelles 175
Meurce 268
Courcemont 601
Olivet 405
Neuvy-en-Champagne 353
Grandchamp 151
Lezigne 665
Saint-Lezin 691
Vezins 1680
La Tourlandry 1278
La Tessoualle 3128
Tresson 477
Herce 355
Ferce 559
Saint-Ellier-du-Maine 493
Saint-Hilaire-du-Maine 695
Luigne 228
Thoigne 136
Cizay-la-Madeleine 437
Saint-Remy-la-Varenne 898
Saint-Remy-des-Monts 679
Jans 1081
Puceul 682
Saint-Michel-de-Chavaignes 760
Chavaignes 99
Curzon 380
Doix 843
Le Horps 747
Le Ham 444
Houssay 377
Roussay 1060
Boussay 2553
La Bruffiere 3320
La Bernardiere 1252
Cugand 3189

Clisson 6480
Saint-Hilaire-de-Clisson 1754

Saint-Hilaire-de-Loulay 3840
Saint-Hilaire-de-Voust 684
Conflans-sur-Anille 608
Trans-sur-Erdre 734
Saint-Georges-de-la-Couee 205
Saint-Georges-des-Sept-Voies 599
Ballots 1089
Ballon 1445
Saint-Mars-sous-Ballon 648
Crossac 2329
Frossay 2463
Vue 1324
Rouans 2283
Saint-Prouant 1390
Neufchatel-en-Saosnois 795
Monce-en-Saosnois 244
Livet-en-Saosnois 74
Cures 491
Coutures 501
Belgeard 351
La Jaudonniere 585
La Jonchere 316
La Bazoge 2995
La Brulatte 669
La Bruere-sur-Loir 337
Varrains 1220
Jublains 739

Blain 8274
Le Gavre 1026
Vay 1333
La Grigonnais 1314
La Chapelle-Craonnaise 277
La Selle-Craonnaise 905
Mansigne 1411

Guemene-Penfao 4963
Marigne-Peuton 513
Peuton 220
Bouchamps-les-Craon 542
Mouchamps 2628
Saint-Avaugourd-des-Landes 795
Rochetrejoux 795
Rocheserviere 2404
La Previere 307
Thire 446
La Chapelle-Themer 307
La Chapelle-Glain 824
Ize 490
Vautorte 598
Saint-Etienne-de-Mer-Morte 1084

Saint-Etienne-de-Montluc 6809
Saint-Etienne-du-Bois 1544
Saint-Etienne-de-Brillouet 400
La Boissiere-des-Landes 1162
Bourg de Joue-sur-Erdre 1834
Saint-Ouen-de-Mimbre 793
Saint-Ouen-des-Toits 1515
Saint-Ouen-des-Vallons 183
Lignieres-Orgeres 769
Lignieres-la-Carelle 368
Mazieres-en-Mauges 1023
Begrolles-en-Mauges 1617
Chassille 273
Tassille 100
Deneze-sous-le-Lude 277
Noyal-sur-Brutz 529
Champteusse-sur-Baconne 198
Champtoceaux 1840
Oudon 2845
La Varenne 1451
Parennes 518
Vendrennes 1160
Saint-Fulgent 3271
Saint-Fort 1655
La Chapelle-Saint-Fray 380
La Chapelle-Saint-Aubin 2201
Trange 1091

Change 5546
Ruaudin 2994
Montaudin 959
La Remaudiere 1068
La Rouaudiere 341
La Jubaudiere 1161
La Jumelliere 1122
Chemellier 654
Chemere 1707
Chemere-le-Roi 425
Courcelles-la-Foret 425
Chatres-la-Foret 682

Evron 7808
Mezangers 583
Bazougers 981
Soulge-sur-Ouette 1018
Tennie 1018
Savennieres 1224
La Possonniere 2252

La Pommeraye 3982
Pommerieux 614
Commer 1142
Commerveil 142
Avoise 528
Touvois 1407
Villebernier 1407
Vernie 299
Torce-Viviers-en-Charnie 769
Saint-Molf 1617
Saint-Marceau 423
Vimarce 242
Soeurdres 267
Courcival 83
Saint-Ulphace 203
Saint-Urbain 1119
Saint-Mars-la-Reorthe 819
La Reorthe 878

Chantonnay 8375
Saint-Germain-de-Princay 1415
Luche-Pringe 1613
Prinquiau 2243
La Chapelle-Launay 2467

Savenay 6770
Lavenay 373

Venansault 3955
Saulges 349
Grues 755
Benet 3471
Le Mazeau 470

Maze 4094

Beaufort-en-Vallee 5677
Le Mesnil-en-Vallee 1364
Ambrieres-les-Vallees 2786
Courceboeufs 455
Thuboeuf 241
Paimboeuf 3015
Corsept 2116

Donges 6749
Le Longeron 2004
Longeville-sur-Mer 2171
Jard-sur-Mer 2368
La Tranche-sur-Mer 2671
La Faute-sur-Mer 972
Saint-Benoist-sur-Mer 338
Angles 1858
Moutiers-les-Mauxfaits 1508
Le Champ-Saint-Pere 1404
La Couture 172
Mareuil-sur-Lay-Dissais 2647
Chateau-Guibert 1186
Saint-Florent-des-Bois 2725
Fougere 914
Loupfougeres 389
Rouge 2328
Saint-Mars-sur-la-Futaie 649
Sion-les-Mines 1478
Javron-les-Chapelles 1456
Lassay-les-Chateaux 2650
Ambillou-Chateau 902
Broc 330
Brigne 330
Martigne-Briand 1883
Montigne-le-Brillant 1266
Port-Brillet 1940
