

Oklahoma City 681054

Del City 21822

Skedee 62
Haileyville 716
Burneyville 815
Burns Flat 1948
Tagg Flats 12
Le Flore 150
Gore 951
Goodwell 951

Woodward 12133
Laverne 1223
Warner 1593
Kansas 711

Sallisaw 8510
Salina 1085
Oologah 1305
Taloga 288
Foyil 368
Hoyt 82
Clayton 555

Claremore 19580

Ardmore 24725

Moore 62793
Mooreland 1178
Vian 1374
Ravia 464
Loco 99

Pocola 4255
Thackerville 400
Dover 400
Lovell 28
Colbert 1027
Cashion 850
Washington 673
Covington 472
Whitehorn Cove 1201
Jet 197
Emet 69
Cement 436
Sweetwater 102
Weleetka 806
Welch 622
Lehigh 272
Cartwright 492
Langston 1619
Lane 300
Cumberland 315
Lambert 5
East Duke 394
Greasy 248
Gregory 377
Cyril 827
Brent 760
Rentiesville 103
Brooksville 71
Sour John 71
Sawyer 340
Cheyenne 771
Gracemont 279
Lamont 301
Ramona 524
Amorita 38
Peckham 38
Quinton 863
Moodys 854
Lake Ellsworth Addition 223
North Enid 1003

Enid 51308

Guthrie 10749

Edmond 94428

Piedmont 7402

The Village 9538
Lakeside Village 162
Lawrence Creek 121
Vici 611
Medicine Park 411
Lucien 66
Friendship 23
Mounds 932
Lindsay 2864

Sayre 4809
Hobart 3413
Barber 303
Garber 725
Slick 151
Texola 43
Texhoma 856
Howe 625
Gowen 244
Atoka 3195
Waynoka 708
Wayne 625
Jay 2425
West Siloam Springs 1000
Nowata 3517

Owasso 38240
Castle 169
Devol 93
Cleveland 3205
Meeker 1004

Shawnee 31377
Shady Grove (Pawnee County) 2
Sycamore 65
Elmore City 738
Hydro 927
Copan 710
Brush Creek 14
Pond Creek 885
Wickliffe 1026
Warwick 164
Waukomis 1349

Yukon 23630
Cayuga 160
Douglas 51
Utica 51
Justice 1424
Carmen 360
Smithville 77
Sunray 853
Monroe 164
Fairmont 132
Blair 727
Seiling 850
Aline 168
Dixon 168
Faxon 114
Council Hill 108
Summit 108
Beggs 1179
Peggs 789
Murphy 140
Fletcher 1204
Ringwood 401
Oakwood 74
Cottonwood 117
Pontotoc 81
Horntown 92
Fittstown 78
Lookeba 78
Pinhook Corner 139
Wyandotte 488
Gotebo 174
Optima 338
Webbers Falls 338
Prague 2356
Osage 177
Garvin 177
Mutual 63
Luther 1492
Calumet 443
Cameron 323
Capron 27
Meridian (Logan County) 14
Meridian (Stephens County) 1493
Dustin 327
Olustee 468

Weatherford 12076

Anadarko 5745
Elgin 3656
Sentinel 763
Boise City 1166
Dewar 763
Seward 26
Depew 411
Albany 118
Burbank 123
Pittsburg 180
Putnam 30
Ketchum 471
Porum 602
Manitou 171
Granite 1628
Addington 83

Tecumseh 6302
Stigler 2703
Oilton 885
Panola 73

Marlow 4385
Bushyhead 1292
Bug Tussle 220
St. Louis 121
Oakhurst 2262
Remy 505
McCurtain 355
Rocky Mountain 471
Talihina 925
Maud 867
Keefton 732
Tipton 864
Renfrow 15
Dibble 867
Alex 482
Katie 332
Eakly 293
Bentley 42
